sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl
stairs:3315,영도구,신선중교,35.0804414,129.0455704,0.00,23.22,100035913062C03910100000000021386,31.4,busan-road-polygon:227073,,5.0,RDQ006,353.6,crosswalk:1580,영도서원유통앞,false,54.6,public_toilet:344,신선3동 공영주차장,화장실,false,STC-2989,5,P4,0,LOW_PRIORITY,"도로 polygon 20m 초과, 15m 이내 계단 클러스터",EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:중교,"https://map.kakao.com/link/map/35.0804414,129.0455704","https://map.kakao.com/link/roadview/35.0804414,129.0455704"
stairs:3194,영도구,대평초교,35.0876011,129.0383547,1.60,23.34,100035913062C03910100000000019883,44.4,busan-road-polygon:226107,,6.0,RDQ006,83.3,crosswalk:1627,대평초교,false,80.6,barrier_free_facility:3127,남항경로당,복지·돌봄,false,STC-2889,1,P4,0,LOW_PRIORITY,도로 polygon 20m 초과,EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:초교,"https://map.kakao.com/link/map/35.0876011,129.0383547","https://map.kakao.com/link/roadview/35.0876011,129.0383547"
stairs:3248,영도구,태종대중교,35.0734711,129.0641076,0.00,35.13,100035913073C03910100000000021216,46.3,busan-road-polygon:232980,,12.1,RDQ006,274.2,crosswalk:1603,절영초교입구,false,182.2,public_toilet:294,영도구장애인복지관,화장실,false,STC-2942,1,P4,0,LOW_PRIORITY,도로 polygon 20m 초과,EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:중교,"https://map.kakao.com/link/map/35.0734711,129.0641076","https://map.kakao.com/link/roadview/35.0734711,129.0641076"
stairs:3238,영도구,봉삼초교,35.0746925,129.0638025,0.00,42.98,100035913073C03910100000000021206,52.4,busan-road-polygon:233247,,2.5,RDQ006,213.4,crosswalk:1526,동삼와치종합사회복지관,false,138.5,barrier_free_facility:3321,비이동(청학모자원),복지·돌봄,false,STC-2932,1,P4,0,LOW_PRIORITY,도로 polygon 20m 초과,EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:초교,"https://map.kakao.com/link/map/35.0746925,129.0638025","https://map.kakao.com/link/roadview/35.0746925,129.0638025"
stairs:3220,영도구,고신대학교송도캠퍼스,35.0786639,129.0635231,1.40,47.99,100035913063C03910100000000021187,55.5,busan-road-polygon:233161,,8.9,RDQ006,316.1,crosswalk:1525,동삼와치종합사회복지관,false,151.5,charging_station:175,고신대학교(영도캠퍼스),전동보장구 충전소,false,STC-2915,1,P4,0,LOW_PRIORITY,도로 polygon 20m 초과,EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:학교|대학교|대학|캠퍼스,"https://map.kakao.com/link/map/35.0786639,129.0635231","https://map.kakao.com/link/roadview/35.0786639,129.0635231"
stairs:3246,영도구,절영초교,35.0730219,129.0624015,0.00,22.34,100035913073C03910100000000021214,59.7,busan-road-polygon:228829,,10.0,RDQ006,151.8,crosswalk:1603,절영초교입구,false,81.1,public_toilet:270,절영종합사회복지관,화장실,false,STC-2940,1,P4,0,LOW_PRIORITY,도로 polygon 20m 초과,EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:초교,"https://map.kakao.com/link/map/35.0730219,129.0624015","https://map.kakao.com/link/roadview/35.0730219,129.0624015"
stairs:3247,영도구,절영초교,35.0727811,129.0626311,0.00,23.63,100035913073C03910100000000021215,101.1,busan-road-polygon:231446,,10.1,RDQ006,133.2,crosswalk:1603,절영초교입구,false,60.0,public_toilet:270,절영종합사회복지관,화장실,false,STC-2941,1,P4,0,LOW_PRIORITY,도로 polygon 20m 초과,EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:초교,"https://map.kakao.com/link/map/35.0727811,129.0626311","https://map.kakao.com/link/roadview/35.0727811,129.0626311"
stairs:3304,영도구,영일유치원,35.0898416,129.0462239,0.00,11.58,100035913062C03910100000000021375,236.8,busan-road-polygon:228573,,19.0,RDQ006,108.8,crosswalk:1586,영도초등학교,false,141.5,public_toilet:317,영선1동행정복지센터,화장실,false,STC-2993,1,P4,0,LOW_PRIORITY,도로 polygon 20m 초과,EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:유치원,"https://map.kakao.com/link/map/35.0898416,129.0462239","https://map.kakao.com/link/roadview/35.0898416,129.0462239"
stairs:3313,영도구,남도여자중교,35.0873538,129.0459599,0.00,49.67,100035913062C03910100000000021384,327.0,busan-road-polygon:228573,,19.0,RDQ006,282.8,crosswalk:1585,영도초등학교,false,78.8,public_toilet:266,한아름새마을금고(본점),화장실,false,STC-3002,1,P4,0,LOW_PRIORITY,도로 polygon 20m 초과,EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:중교,"https://map.kakao.com/link/map/35.0873538,129.0459599","https://map.kakao.com/link/roadview/35.0873538,129.0459599"
stairs:3307,영도구,부산영상예술고교,35.0851292,129.0450492,0.00,11.03,100035913062C03910100000000021378,351.4,busan-road-polygon:228573,,19.0,RDQ006,299.2,crosswalk:1531,남항초등학교,false,123.9,barrier_free_facility:3176,신선파출소,행정·공공기관,false,STC-2996,1,P4,0,LOW_PRIORITY,도로 polygon 20m 초과,EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:고교,"https://map.kakao.com/link/map/35.0851292,129.0450492","https://map.kakao.com/link/roadview/35.0851292,129.0450492"
