sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl,firstPassDecision,firstPassConfidence,firstPassReasonCode,secondPassDecision,secondPassConfidence,secondPassReasonCode
stairs:20,강서구,계단,35.2190945,128.9382277,0.00,9.16,100035816018C03910100000000009478,14.6,busan-road-polygon:8334,,9.0,RDQ006,142.4,crosswalk:3250,대사초등학교,false,125.8,public_toilet:1526,만은에너지(주)대사리주유소,화장실,false,STC-0018,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2190945,128.9382277","https://map.kakao.com/link/roadview/35.2190945,128.9382277",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:290,강서구,계단,35.1211027,128.8539842,0.00,47.31,100035816055C03910100000000040797,15.2,busan-road-polygon:29630,,18.0,RDQ006,471.9,crosswalk:2903,미음지구1공구-1지점,false,634.9,barrier_free_facility:9709,국민김밥,음식·카페,false,STC-0271,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1211027,128.8539842","https://map.kakao.com/link/roadview/35.1211027,128.8539842",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_isolated_no_public_walk_clue
stairs:43,강서구,계단,35.2177087,128.9487763,0.00,6.62,100035816018C03910100000000009514,17.0,busan-road-polygon:7479,,10.4,RDQ006,367.2,crosswalk:3243,평강삼거리,false,465.9,public_toilet:1665,우리2주유소,화장실,false,STC-0040,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2177087,128.9487763","https://map.kakao.com/link/roadview/35.2177087,128.9487763",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_isolated_no_public_walk_clue
stairs:215,강서구,계단,35.1494752,128.8395316,0.00,22.47,100035816044C03910100000000040705,17.1,busan-road-polygon:23563,,14.0,RDQ006,302.5,crosswalk:2998,지사6지점,false,225.2,public_toilet:1499,소모 과학셀프주유소,화장실,false,STC-0202,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1494752,128.8395316","https://map.kakao.com/link/roadview/35.1494752,128.8395316",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:265,강서구,계단,35.1050561,128.9198773,0.00,21.45,100035816057C03910100000000040768,17.7,busan-road-polygon:32708,,40.0,RDQ006,886.7,crosswalk:3205,임해단지(3)명지동리,false,625.3,barrier_free_facility:9418,자담면가,음식·카페,false,STC-0247,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1050561,128.9198773","https://map.kakao.com/link/roadview/35.1050561,128.9198773",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_isolated_no_public_walk_clue
stairs:229,강서구,계단,35.1406101,128.9330690,0.00,1.97,100035816048C03910100000000040719,18.0,busan-road-polygon:38315,,3.0,RDQ006,1353.9,crosswalk:3192,염막부락입구,false,1482.8,public_toilet:1513,맥도주유소,화장실,false,STC-0214,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1406101,128.9330690","https://map.kakao.com/link/roadview/35.1406101,128.9330690",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_isolated_no_public_walk_clue
stairs:291,강서구,계단,35.1393027,128.8553575,0.00,26.57,100035816045C03910100000000040798,18.2,busan-road-polygon:36793,,10.0,RDQ006,441.6,crosswalk:2901,미음지구1공구-7지점,false,406.7,barrier_free_facility:9698,키피공작(구랑점),음식·카페,false,STC-0272,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1393027,128.8553575","https://map.kakao.com/link/roadview/35.1393027,128.8553575",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_isolated_no_public_walk_clue
stairs:353,강서구,계단,35.0809197,128.9008650,0.00,11.71,100035816067C03910100000000040910,18.7,busan-road-polygon:27307,,1.5,RDQ005,139.2,crosswalk:2758,명지주거단지 23지점(CPU없음),false,222.1,barrier_free_facility:9456,성원빌딩,의료·보건,false,STC-0332,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0809197,128.9008650","https://map.kakao.com/link/roadview/35.0809197,128.9008650",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:225,강서구,계단,35.1397277,128.8520722,0.00,20.28,100035816045C03910100000000040715,18.9,busan-road-polygon:36705,,2.5,RDQ006,668.9,crosswalk:2901,미음지구1공구-7지점,false,684.8,barrier_free_facility:9698,키피공작(구랑점),음식·카페,false,STC-0210,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1397277,128.8520722","https://map.kakao.com/link/roadview/35.1397277,128.8520722",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_isolated_no_public_walk_clue
stairs:530,금정구,계단,35.2369608,129.0885538,12.00,8.82,100035913004C03910100000000021832,16.4,busan-road-polygon:57595,,9.2,RDQ006,143.9,crosswalk:3278,장전역,false,147.6,barrier_free_facility:8903,성현빌딩,음식·카페,false,STC-0478,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2369608,129.0885538","https://map.kakao.com/link/roadview/35.2369608,129.0885538",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
