sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl
stairs:8,강서구,계단,35.2091687,128.9826764,0.00,8.23,100035816020C03910100000000009398,3.4,busan-road-polygon:4222,,35.0,RDQ006,176.8,crosswalk:3190,대동사거리,false,27.1,barrier_free_facility:9318,파스쿠찌,음식·카페,true,STC-0007,1,P1,65,CANDIDATE,"도로 polygon 5m 이내, 편의시설 50m 이내",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2091687,128.9826764","https://map.kakao.com/link/roadview/35.2091687,128.9826764"
stairs:102,강서구,계단,35.2205182,128.9330677,0.00,3.04,100035816018C03910100000000009598,5.0,busan-road-polygon:8781,,2.8,RDQ006,107.8,crosswalk:3251,강동우체국,false,49.4,barrier_free_facility:9392,대사1구 행복센터,복지·돌봄,true,STC-0098,2,P1,65,CANDIDATE,"도로 polygon 5m 이내, 편의시설 50m 이내, 15m 이내 계단 클러스터",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2205182,128.9330677","https://map.kakao.com/link/roadview/35.2205182,128.9330677"
stairs:109,강서구,계단,35.2206067,128.9323339,0.00,4.26,100035816018C03910100000000009606,0.0,busan-road-polygon:7984,,9.6,RDQ006,130.8,crosswalk:3251,강동우체국,false,94.1,barrier_free_facility:9392,대사1구 행복센터,복지·돌봄,false,STC-0103,1,P1,60,CANDIDATE,도로 polygon과 겹침,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2206067,128.9323339","https://map.kakao.com/link/roadview/35.2206067,128.9323339"
stairs:115,강서구,계단,35.1947857,128.9151370,0.00,14.11,100035816027C03910100000000009655,0.0,busan-road-polygon:16004,,3.0,RDQ006,362.4,crosswalk:2830,덕포정미소,false,327.8,barrier_free_facility:9401,오케이물류,음식·카페,false,STC-0108,1,P1,60,CANDIDATE,도로 polygon과 겹침,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1947857,128.9151370","https://map.kakao.com/link/roadview/35.1947857,128.9151370"
stairs:150,강서구,계단,35.1534665,128.8172926,0.00,22.12,100035816033C03910100000000011022,0.0,busan-road-polygon:22916,,16.0,RDQ006,454.7,crosswalk:2883,지사2지점,false,1271.8,public_toilet:1591,지사민원센터,화장실,false,STC-0143,2,P1,60,CANDIDATE,"도로 polygon과 겹침, 15m 이내 계단 클러스터",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1534665,128.8172926","https://map.kakao.com/link/roadview/35.1534665,128.8172926"
stairs:151,강서구,계단,35.1534145,128.8171822,0.00,25.64,100035816033C03910100000000011023,0.0,busan-road-polygon:22900,,16.0,RDQ006,454.1,crosswalk:2883,지사2지점,false,1280.9,public_toilet:1591,지사민원센터,화장실,false,STC-0143,2,P1,60,CANDIDATE,"도로 polygon과 겹침, 15m 이내 계단 클러스터",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1534145,128.8171822","https://map.kakao.com/link/roadview/35.1534145,128.8171822"
stairs:153,강서구,계단,35.1526370,128.8144425,0.00,24.62,100035816033C03910100000000011025,0.0,busan-road-polygon:22962,,5.0,RDQ006,469.2,crosswalk:3005,지사1지점,false,1500.4,barrier_free_facility:9737,일반음식점,음식·카페,false,STC-0145,1,P1,60,CANDIDATE,도로 polygon과 겹침,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1526370,128.8144425","https://map.kakao.com/link/roadview/35.1526370,128.8144425"
stairs:159,강서구,계단,35.0278546,128.8156646,0.00,6.23,100035816083C03910100000000037026,0.0,busan-road-polygon:91,,14.0,RDQ006,656.2,crosswalk:2800,(천성~눌차간)서중2교차로,false,51.6,public_toilet:1590,천성선착장(임시2),화장실,false,STC-0151,1,P1,60,CANDIDATE,도로 polygon과 겹침,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0278546,128.8156646","https://map.kakao.com/link/roadview/35.0278546,128.8156646"
stairs:161,강서구,계단,35.0264933,128.8154424,0.00,7.29,100035816083C03910100000000037028,0.0,busan-road-polygon:88,,14.0,RDQ006,778.3,crosswalk:2800,(천성~눌차간)서중2교차로,false,200.5,public_toilet:1590,천성선착장(임시2),화장실,false,STC-0153,1,P1,60,CANDIDATE,도로 polygon과 겹침,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0264933,128.8154424","https://map.kakao.com/link/roadview/35.0264933,128.8154424"
stairs:17,강서구,계단,35.2212955,128.9610388,0.00,4.96,100035816019C03910100000000009475,0.0,busan-road-polygon:6135,,5.7,RDQ006,691.4,crosswalk:3062,부산우편집중국주변,false,396.2,barrier_free_facility:9237,부산지방기상청,행정·공공기관,false,STC-0015,1,P1,60,CANDIDATE,도로 polygon과 겹침,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2212955,128.9610388","https://map.kakao.com/link/roadview/35.2212955,128.9610388"
stairs:219,강서구,계단,35.1489729,128.8389108,0.00,4.39,100035816044C03910100000000040709,0.0,busan-road-polygon:36219,,35.0,RDQ006,240.3,crosswalk:2998,지사6지점,false,157.0,public_toilet:1499,소모 과학셀프주유소,화장실,false,STC-0205,1,P1,60,CANDIDATE,도로 polygon과 겹침,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1489729,128.8389108","https://map.kakao.com/link/roadview/35.1489729,128.8389108"
