sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl,firstPassDecision,firstPassConfidence,firstPassReasonCode,secondPassDecision,secondPassConfidence,secondPassReasonCode
stairs:292,강서구,계단,35.1396994,128.8553841,0.00,25.12,100035816045C03910100000000040799,9.6,busan-road-polygon:36779,,9.0,RDQ006,479.9,crosswalk:2901,미음지구1공구-7지점,false,434.4,barrier_free_facility:9698,키피공작(구랑점),음식·카페,false,STC-0273,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1396994,128.8553841","https://map.kakao.com/link/roadview/35.1396994,128.8553841",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:295,강서구,계단,35.1386796,128.8535927,0.00,12.39,100035816045C03910100000000040802,9.6,busan-road-polygon:36792,,35.0,RDQ006,488.1,crosswalk:2901,미음지구1공구-7지점,false,510.6,barrier_free_facility:9698,키피공작(구랑점),음식·카페,false,STC-0276,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1386796,128.8535927","https://map.kakao.com/link/roadview/35.1386796,128.8535927",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:221,강서구,계단,35.1473371,128.8421156,0.00,12.46,100035816044C03910100000000040711,9.7,busan-road-polygon:36252,,35.0,RDQ006,484.2,crosswalk:3020,지사과학산업단지 2지점,false,332.0,public_toilet:1509,지사스포츠파크,화장실,false,STC-0207,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1473371,128.8421156","https://map.kakao.com/link/roadview/35.1473371,128.8421156",MANUAL_REVIEW,MEDIUM,p3_close_road_generic_needs_visual_check,MANUAL_REVIEW,MEDIUM,p3_close_road_generic_needs_visual_check_still_needs_visual_check
stairs:172,강서구,계단,35.0598671,128.8184580,0.00,7.34,100035816073C03910100000000037041,10.1,busan-road-polygon:26180,,4.0,RDQ006,3061.5,crosswalk:2800,(천성~눌차간)서중2교차로,false,1042.2,barrier_free_facility:9831,이외 사회복지시설,복지·돌봄,false,STC-0164,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0598671,128.8184580","https://map.kakao.com/link/roadview/35.0598671,128.8184580",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:314,강서구,계단,35.1089067,128.8798857,0.00,46.76,100035816056C03910100000000040821,10.3,busan-road-polygon:31441,,15.0,RDQ006,141.8,crosswalk:2837,화전지구산업단지- 7구역,false,265.2,public_toilet:1562,화암공원,화장실,false,STC-0293,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1089067,128.8798857","https://map.kakao.com/link/roadview/35.1089067,128.8798857",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:70,강서구,계단,35.2165417,128.9440868,0.00,4.74,100035816018C03910100000000009543,10.4,busan-road-polygon:8177,,2.5,RDQ006,83.3,crosswalk:3246,용화사,false,115.8,public_toilet:1665,우리2주유소,화장실,false,STC-0067,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2165417,128.9440868","https://map.kakao.com/link/roadview/35.2165417,128.9440868",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:126,강서구,계단,35.2135663,128.9354919,0.00,19.59,100035816018C03910100000000009670,10.5,busan-road-polygon:8722,,3.4,RDQ006,505.0,crosswalk:3249,대사초등학교,false,102.6,public_toilet:1520,강서구보훈복지회관,화장실,false,STC-0119,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2135663,128.9354919","https://map.kakao.com/link/roadview/35.2135663,128.9354919",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:268,강서구,계단,35.1096626,128.9215735,0.00,29.38,100035816057C03910100000000040771,10.6,busan-road-polygon:33445,,23.5,RDQ006,473.4,crosswalk:3047,명지동사무소,false,167.4,barrier_free_facility:9467,명지노인종합복지관,복지·돌봄,false,STC-0250,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1096626,128.9215735","https://map.kakao.com/link/roadview/35.1096626,128.9215735",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:327,강서구,계단,35.0867294,128.9123902,0.00,9.94,100035816067C03910100000000040882,11.0,busan-road-polygon:32045,,1.5,RDQ005,52.2,crosswalk:2960,명지주거단지 10지점,false,207.1,public_toilet:1540,철새탐조대,화장실,false,STC-0306,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0867294,128.9123902","https://map.kakao.com/link/roadview/35.0867294,128.9123902",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:114,강서구,계단,35.2199540,128.9311384,0.00,8.84,100035816018C03910100000000009628,11.1,busan-road-polygon:8864,,3.8,RDQ006,172.8,crosswalk:3251,강동우체국,false,223.6,barrier_free_facility:9392,대사1구 행복센터,복지·돌봄,false,STC-0107,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2199540,128.9311384","https://map.kakao.com/link/roadview/35.2199540,128.9311384",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
