sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl,firstPassDecision,firstPassConfidence,firstPassReasonCode
stairs:49,강서구,계단,35.2200330,128.9362476,0.00,6.16,100035816018C03910100000000009520,6.3,busan-road-polygon:8564,,3.0,RDQ006,173.5,crosswalk:3248,대사초등학교,false,151.1,public_toilet:1526,만은에너지(주)대사리주유소,화장실,false,STC-0046,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2200330,128.9362476","https://map.kakao.com/link/roadview/35.2200330,128.9362476",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:278,강서구,계단,35.1202751,128.8939319,0.00,29.88,100035816056C03910100000000040785,6.4,busan-road-polygon:31810,,10.0,RDQ006,188.4,crosswalk:3037,녹산교,false,131.6,public_toilet:1567,젤코바주유소,화장실,false,STC-0259,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1202751,128.8939319","https://map.kakao.com/link/roadview/35.1202751,128.8939319",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:277,강서구,계단,35.1205968,128.8939909,0.00,33.63,100035816056C03910100000000040784,6.5,busan-road-polygon:31810,,10.0,RDQ006,152.5,crosswalk:3037,녹산교,false,145.8,public_toilet:1567,젤코바주유소,화장실,false,STC-0258,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1205968,128.8939909","https://map.kakao.com/link/roadview/35.1205968,128.8939909",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:192,강서구,계단,35.1427289,128.8237422,0.00,28.34,100035816043C03910100000000038156,6.6,busan-road-polygon:36077,,13.0,RDQ006,134.8,crosswalk:3003,지사11지점,false,887.5,barrier_free_facility:9737,일반음식점,음식·카페,false,STC-0180,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1427289,128.8237422","https://map.kakao.com/link/roadview/35.1427289,128.8237422",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:75,강서구,계단,35.2154519,128.9437935,0.00,1.62,100035816018C03910100000000009548,6.6,busan-road-polygon:8183,,8.0,RDQ006,41.8,crosswalk:3246,용화사,false,55.9,public_toilet:1665,우리2주유소,화장실,false,STC-0065,2,P3,25,LOW_PRIORITY,"도로 polygon 20m 이내, 15m 이내 계단 클러스터",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2154519,128.9437935","https://map.kakao.com/link/roadview/35.2154519,128.9437935",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:251,강서구,계단,35.1070388,128.9229634,0.00,11.40,100035816057C03910100000000040754,6.7,busan-road-polygon:33685,,10.0,RDQ006,675.9,crosswalk:3257,명지중리입구,false,272.0,barrier_free_facility:9418,자담면가,음식·카페,false,STC-0234,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1070388,128.9229634","https://map.kakao.com/link/roadview/35.1070388,128.9229634",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:325,강서구,계단,35.0841723,128.9088002,0.00,20.93,100035816067C03910100000000040879,6.8,busan-road-polygon:32391,,20.0,RDQ006,78.5,crosswalk:2761,명지주거단지 11지점,false,302.4,public_toilet:1540,철새탐조대,화장실,false,STC-0304,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0841723,128.9088002","https://map.kakao.com/link/roadview/35.0841723,128.9088002",MANUAL_REVIEW,MEDIUM,p3_close_road_generic_needs_visual_check
stairs:57,강서구,계단,35.2191356,128.9354567,0.00,7.15,100035816018C03910100000000009529,6.9,busan-road-polygon:8584,,3.0,RDQ006,51.2,crosswalk:3248,대사초등학교,false,114.9,public_toilet:1648,서강주유소,화장실,false,STC-0054,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2191356,128.9354567","https://map.kakao.com/link/roadview/35.2191356,128.9354567",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:200,강서구,계단,35.1486874,128.8112432,0.00,44.56,100035816043C03910100000000038169,7.5,busan-road-polygon:35557,,4.0,RDQ006,77.1,crosswalk:3005,지사1지점,false,1116.5,barrier_free_facility:9737,일반음식점,음식·카페,false,STC-0188,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1486874,128.8112432","https://map.kakao.com/link/roadview/35.1486874,128.8112432",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:74,강서구,계단,35.2166109,128.9432519,0.00,10.50,100035816018C03910100000000009547,7.5,busan-road-polygon:8177,,2.5,RDQ006,112.3,crosswalk:3246,용화사,false,159.1,public_toilet:1665,우리2주유소,화장실,false,STC-0071,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2166109,128.9432519","https://map.kakao.com/link/roadview/35.2166109,128.9432519",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
