sourceId,districtGu,districtDong,locationLabel,point,lat,lng,widthMeter,lengthMeter,areaSquareMeter,crossingState
crosswalk:59,해운대구,우동,마린시티 2지점,POINT(129.1441947 35.1580941),35.1580941,129.1441947,6,18,104,TRAFFIC_SIGNALS
crosswalk:60,해운대구,우동,마린시티 8지점,POINT(129.1470581 35.1548850),35.1548850,129.1470581,6,15,91,TRAFFIC_SIGNALS
crosswalk:61,해운대구,우동,마린시티 8지점,POINT(129.1471240 35.1551197),35.1551197,129.1471240,6,14,80,TRAFFIC_SIGNALS
crosswalk:62,해운대구,우동,일신아파트(해운대구 우1동 1410-3),POINT(129.1456586 35.1545625),35.1545625,129.1456586,6,14,81,TRAFFIC_SIGNALS
crosswalk:63,해운대구,우동,마린시티 7지점,POINT(129.1446651 35.1557079),35.1557079,129.1446651,6,12,71,TRAFFIC_SIGNALS
crosswalk:64,해운대구,중동,AID해운대주공아파트후문,POINT(129.1764592 35.1612407),35.1612407,129.1764592,6,13,75,TRAFFIC_SIGNALS
crosswalk:65,해운대구,반여동,SK아파트(부산골프고→혜화여중뒤),POINT(129.1124174 35.2045698),35.2045698,129.1124174,4,7,26,TRAFFIC_SIGNALS
crosswalk:66,해운대구,반여동,SK아파트(부산골프고→혜화여중뒤),POINT(129.1125204 35.2044711),35.2044711,129.1125204,4,9,35,TRAFFIC_SIGNALS
crosswalk:67,해운대구,반여동,아세안 선수촌 단지내(3) (신촌주유소),POINT(129.1257585 35.2050580),35.2050580,129.1257585,6,13,76,TRAFFIC_SIGNALS
crosswalk:68,해운대구,반여동,우방아파트(1),POINT(129.1167327 35.2028499),35.2028499,129.1167327,7,11,67,TRAFFIC_SIGNALS
crosswalk:69,해운대구,반여동,우방아파트(1),POINT(129.1162941 35.2023724),35.2023724,129.1162941,6,17,64,TRAFFIC_SIGNALS
crosswalk:70,해운대구,반여동,우방아파트(1),POINT(129.1162736 35.2022016),35.2022016,129.1162736,4,11,43,TRAFFIC_SIGNALS
crosswalk:71,해운대구,반여동,우방아파트(2),POINT(129.1160641 35.2043277),35.2043277,129.1160641,7,9,52,TRAFFIC_SIGNALS
crosswalk:72,해운대구,반여동,우방아파트(2),POINT(129.1174281 35.2038975),35.2038975,129.1174281,4,19,74,TRAFFIC_SIGNALS
crosswalk:73,해운대구,반여동,장산중학교,POINT(129.1179983 35.1980778),35.1980778,129.1179983,6,9,54,TRAFFIC_SIGNALS
crosswalk:74,해운대구,반여동,장산초교,POINT(129.1189938 35.1995214),35.1995214,129.1189938,4,7,28,TRAFFIC_SIGNALS
crosswalk:75,해운대구,좌동,,POINT(129.1801890 35.1676894),35.1676894,129.1801890,5,17,39,TRAFFIC_SIGNALS
crosswalk:76,해운대구,반여동,선수촌로입구,POINT(129.1186528 35.1974758),35.1974758,129.1186528,3,18,52,TRAFFIC_SIGNALS
crosswalk:77,해운대구,반여동,선수촌로입구,POINT(129.1188228 35.1974485),35.1974485,129.1188228,6,9,54,TRAFFIC_SIGNALS
crosswalk:78,해운대구,중동,파라다이스호텔,POINT(129.1659829 35.1606718),35.1606718,129.1659829,4,8,30,TRAFFIC_SIGNALS
crosswalk:79,해운대구,반여동,장산중학교,POINT(129.1178603 35.1980466),35.1980466,129.1178603,6,10,59,TRAFFIC_SIGNALS
crosswalk:80,해운대구,반여동,장산중학교,POINT(129.1180166 35.1979670),35.1979670,129.1180166,6,11,64,TRAFFIC_SIGNALS
crosswalk:81,해운대구,반여동,장산중학교,POINT(129.1178811 35.1979336),35.1979336,129.1178811,6,9,54,TRAFFIC_SIGNALS
crosswalk:82,해운대구,반여동,장산중학교,POINT(129.1181259 35.1980328),35.1980328,129.1181259,4,7,27,TRAFFIC_SIGNALS
crosswalk:83,해운대구,중동,파라다이스호텔,POINT(129.1659289 35.1608308),35.1608308,129.1659289,6,11,65,TRAFFIC_SIGNALS
crosswalk:84,해운대구,반여동,왕자맨션,POINT(129.1185031 35.1961888),35.1961888,129.1185031,7,11,87,TRAFFIC_SIGNALS
crosswalk:85,해운대구,우동,대우마리나1차,POINT(129.1447534 35.1594140),35.1594140,129.1447534,6,22,64,TRAFFIC_SIGNALS
crosswalk:86,해운대구,우동,대우마리나2차,POINT(129.1475143 35.1589608),35.1589608,129.1475143,6,12,69,TRAFFIC_SIGNALS
crosswalk:87,해운대구,우동,대우마리나2차,POINT(129.1473692 35.1586622),35.1586622,129.1473692,6,16,107,TRAFFIC_SIGNALS
crosswalk:88,해운대구,재송동,반산초교,POINT(129.1293751 35.1930752),35.1930752,129.1293751,4,9,30,TRAFFIC_SIGNALS
crosswalk:89,해운대구,재송동,재송초교입구,POINT(129.1262239 35.1845307),35.1845307,129.1262239,6,10,60,TRAFFIC_SIGNALS
crosswalk:90,해운대구,반여동,반여시장입구(반석교회),POINT(129.1290688 35.1948926),35.1948926,129.1290688,6,10,64,TRAFFIC_SIGNALS
crosswalk:91,해운대구,반여동,반여2PB(반여2동사무소직결),POINT(129.1306827 35.1947600),35.1947600,129.1306827,3,9,58,TRAFFIC_SIGNALS
crosswalk:92,해운대구,반여동,장산초교,POINT(129.1188231 35.1994336),35.1994336,129.1188231,9,11,99,TRAFFIC_SIGNALS
crosswalk:93,해운대구,우동,럭키수퍼마켓앞,POINT(129.1575064 35.1657396),35.1657396,129.1575064,6,14,85,TRAFFIC_SIGNALS
crosswalk:94,해운대구,중동,현대아파트(13),POINT(129.1774150 35.1667363),35.1667363,129.1774150,7,12,82,TRAFFIC_SIGNALS
crosswalk:95,해운대구,중동,"대창아파트(30),(34)직결",POINT(129.1703897 35.1729938),35.1729938,129.1703897,7,15,74,TRAFFIC_SIGNALS
crosswalk:96,해운대구,중동,"대창아파트(30),(34)직결",POINT(129.1703285 35.1731140),35.1731140,129.1703285,7,15,70,TRAFFIC_SIGNALS
crosswalk:97,해운대구,좌동,,POINT(129.1690980 35.1733555),35.1733555,129.1690980,8,13,100,TRAFFIC_SIGNALS
crosswalk:98,해운대구,좌동,대림아파트(31),POINT(129.1722507 35.1740331),35.1740331,129.1722507,6,12,73,TRAFFIC_SIGNALS
crosswalk:99,해운대구,좌동,대림아파트(31),POINT(129.1726736 35.1742275),35.1742275,129.1726736,9,13,101,TRAFFIC_SIGNALS
crosswalk:100,해운대구,좌동,"건영아파트(33),(32)직결",POINT(129.1753363 35.1745756),35.1745756,129.1753363,12,6,75,TRAFFIC_SIGNALS
crosswalk:101,해운대구,좌동,양운초교입구,POINT(129.1675279 35.1736610),35.1736610,129.1675279,6,13,103,TRAFFIC_SIGNALS
crosswalk:102,해운대구,우동,장산터널입구,POINT(129.1401330 35.1709864),35.1709864,129.1401330,4,15,57,TRAFFIC_SIGNALS
crosswalk:103,해운대구,중동,좌동지하차도,POINT(129.1687269 35.1666853),35.1666853,129.1687269,6,20,122,TRAFFIC_SIGNALS
crosswalk:104,해운대구,중동,동일아파트옆,POINT(129.1710749 35.1667209),35.1667209,129.1710749,6,20,126,TRAFFIC_SIGNALS
crosswalk:105,해운대구,중동,동일아파트옆,POINT(129.1711738 35.1666051),35.1666051,129.1711738,2,10,33,TRAFFIC_SIGNALS
crosswalk:106,해운대구,반여동,아세안 선수촌 단지내(2),POINT(129.1224348 35.2039665),35.2039665,129.1224348,7,17,101,TRAFFIC_SIGNALS
crosswalk:107,해운대구,좌동,대동아파트(41),POINT(129.1749596 35.1781282),35.1781282,129.1749596,4,11,69,TRAFFIC_SIGNALS
crosswalk:108,해운대구,재송동,,POINT(129.1270937 35.1753129),35.1753129,129.1270937,8,11,89,TRAFFIC_SIGNALS
crosswalk:109,해운대구,우동,,POINT(129.1301021 35.1737673),35.1737673,129.1301021,8,10,84,TRAFFIC_SIGNALS
crosswalk:110,해운대구,우동,수영로교회,POINT(129.1398944 35.1649608),35.1649608,129.1398944,3,13,40,TRAFFIC_SIGNALS
crosswalk:111,해운대구,재송동,재송유치원 진입로,POINT(129.1265036 35.1830243),35.1830243,129.1265036,7,9,56,TRAFFIC_SIGNALS
crosswalk:112,해운대구,재송동,부산은행 재송지점,POINT(129.1266686 35.1884700),35.1884700,129.1266686,7,23,134,TRAFFIC_SIGNALS
crosswalk:113,해운대구,좌동,경남선경아파트(8)직결,POINT(129.1846789 35.1658549),35.1658549,129.1846789,8,11,88,TRAFFIC_SIGNALS
crosswalk:114,해운대구,좌동,경남선경아파트(8)직결,POINT(129.1839758 35.1664208),35.1664208,129.1839758,6,12,76,TRAFFIC_SIGNALS
crosswalk:115,해운대구,반여동,아세안 선수촌 단지내(6),POINT(129.1227849 35.1989806),35.1989806,129.1227849,6,7,44,TRAFFIC_SIGNALS
crosswalk:116,해운대구,우동,대우마리나1차,POINT(129.1449017 35.1596654),35.1596654,129.1449017,6,12,59,TRAFFIC_SIGNALS
crosswalk:117,해운대구,반여동,왕자맨션,POINT(129.1183420 35.1960762),35.1960762,129.1183420,4,7,36,TRAFFIC_SIGNALS
crosswalk:118,해운대구,송정동,,POINT(129.2041519 35.1822667),35.1822667,129.2041519,4,11,48,TRAFFIC_SIGNALS
crosswalk:119,해운대구,우동,올림픽사거리,POINT(129.1389034 35.1693221),35.1693221,129.1389034,7,32,174,TRAFFIC_SIGNALS
crosswalk:120,해운대구,재송동,,POINT(129.1248232 35.1781670),35.1781670,129.1248232,8,20,160,TRAFFIC_SIGNALS
crosswalk:121,해운대구,우동,,POINT(129.1424743 35.1614590),35.1614590,129.1424743,4,11,64,TRAFFIC_SIGNALS
crosswalk:122,해운대구,중동,해운대예식장,POINT(129.1637709 35.1608293),35.1608293,129.1637709,7,10,71,TRAFFIC_SIGNALS
crosswalk:123,해운대구,중동,해운대예식장,POINT(129.1638358 35.1613380),35.1613380,129.1638358,5,16,120,TRAFFIC_SIGNALS
crosswalk:124,해운대구,중동,동성장여관,POINT(129.1650886 35.1623450),35.1623450,129.1650886,4,7,41,TRAFFIC_SIGNALS
crosswalk:125,해운대구,반송동,부산은행반송동 지점,POINT(129.1572947 35.2305901),35.2305901,129.1572947,7,24,131,TRAFFIC_SIGNALS
crosswalk:126,해운대구,반송동,부산은행반송동 지점,POINT(129.1575220 35.2305802),35.2305802,129.1575220,6,12,76,TRAFFIC_SIGNALS
crosswalk:127,해운대구,좌동,,POINT(129.1753180 35.1701755),35.1701755,129.1753180,6,23,129,TRAFFIC_SIGNALS
crosswalk:128,해운대구,반송동,,POINT(129.1564614 35.2300122),35.2300122,129.1564614,6,12,73,TRAFFIC_SIGNALS
crosswalk:129,해운대구,반송동,,POINT(129.1567525 35.2301171),35.2301171,129.1567525,6,12,74,TRAFFIC_SIGNALS
crosswalk:130,해운대구,반송동,운봉초교(광화탕),POINT(129.1596408 35.2295554),35.2295554,129.1596408,7,11,71,TRAFFIC_SIGNALS
crosswalk:131,해운대구,반송동,운봉초교(광화탕),POINT(129.1596815 35.2294281),35.2294281,129.1596815,4,12,49,TRAFFIC_SIGNALS
crosswalk:132,해운대구,우동,한주주차장,POINT(129.1630525 35.1661498),35.1661498,129.1630525,5,14,40,TRAFFIC_SIGNALS
crosswalk:133,해운대구,우동,해운대전화국입구 (스펀지 앞),POINT(129.1602212 35.1642105),35.1642105,129.1602212,5,15,60,TRAFFIC_SIGNALS
crosswalk:134,해운대구,재송동,반여시장입구(반석교회),POINT(129.1278021 35.1950396),35.1950396,129.1278021,7,12,81,TRAFFIC_SIGNALS
crosswalk:135,해운대구,반여동,반여2PB(반여2동사무소직결),POINT(129.1302977 35.1947517),35.1947517,129.1302977,7,10,70,TRAFFIC_SIGNALS
crosswalk:136,해운대구,반여동,장산시장입구,POINT(129.1229283 35.2077273),35.2077273,129.1229283,9,13,114,TRAFFIC_SIGNALS
crosswalk:137,해운대구,반여동,장산시장입구,POINT(129.1237958 35.2088536),35.2088536,129.1237958,7,12,80,TRAFFIC_SIGNALS
crosswalk:138,해운대구,반송동,반송시립도서관,POINT(129.1482760 35.2253436),35.2253436,129.1482760,9,19,160,TRAFFIC_SIGNALS
crosswalk:139,해운대구,반송동,반송주유소,POINT(129.1472773 35.2255109),35.2255109,129.1472773,7,13,89,TRAFFIC_SIGNALS
crosswalk:140,해운대구,재송동,동부산자동차매매시장,POINT(129.1253265 35.1943808),35.1943808,129.1253265,8,12,94,TRAFFIC_SIGNALS
crosswalk:141,해운대구,중동,"동백맨션(4),(5)직결",POINT(129.1779091 35.1625508),35.1625508,129.1779091,4,23,84,TRAFFIC_SIGNALS
crosswalk:142,해운대구,좌동,,POINT(129.1809726 35.1734543),35.1734543,129.1809726,9,14,85,TRAFFIC_SIGNALS
crosswalk:143,해운대구,중동,장산역주변,POINT(129.1763212 35.1684243),35.1684243,129.1763212,6,8,48,TRAFFIC_SIGNALS
crosswalk:144,해운대구,중동,현대아파트(13),POINT(129.1777741 35.1669628),35.1669628,129.1777741,8,12,79,TRAFFIC_SIGNALS
crosswalk:145,해운대구,중동,장군관사입구(27),POINT(129.1672700 35.1679342),35.1679342,129.1672700,5,13,62,TRAFFIC_SIGNALS
crosswalk:146,해운대구,좌동,,POINT(129.1738559 35.1747845),35.1747845,129.1738559,12,8,100,TRAFFIC_SIGNALS
crosswalk:147,해운대구,좌동,"건영아파트(33),(32)직결",POINT(129.1756420 35.1746969),35.1746969,129.1756420,12,6,76,TRAFFIC_SIGNALS
crosswalk:148,해운대구,좌동,"건영아파트(33),(32)직결",POINT(129.1752746 35.1748257),35.1748257,129.1752746,13,8,93,TRAFFIC_SIGNALS
crosswalk:149,해운대구,좌동,"건영아파트(33),(32)직결",POINT(129.1754854 35.1749666),35.1749666,129.1754854,12,6,76,TRAFFIC_SIGNALS
crosswalk:150,해운대구,반여동,반석초교(상단초교),POINT(129.1255496 35.2106870),35.2106870,129.1255496,8,13,111,TRAFFIC_SIGNALS
crosswalk:151,해운대구,좌동,,POINT(129.1793407 35.1758302),35.1758302,129.1793407,4,15,60,TRAFFIC_SIGNALS
crosswalk:152,해운대구,재송동,재송동하버드학원,POINT(129.1232007 35.1930127),35.1930127,129.1232007,9,13,113,TRAFFIC_SIGNALS
crosswalk:153,해운대구,중동,동일아파트옆,POINT(129.1714293 35.1668905),35.1668905,129.1714293,4,7,28,TRAFFIC_SIGNALS
crosswalk:154,해운대구,좌동,,POINT(129.1791710 35.1760766),35.1760766,129.1791710,5,16,63,TRAFFIC_SIGNALS
crosswalk:155,해운대구,우동,우2동 해림초교앞,POINT(129.1434367 35.1647950),35.1647950,129.1434367,8,10,56,TRAFFIC_SIGNALS
crosswalk:156,해운대구,반여동,반여낙천대2차(무정초교),POINT(129.1235694 35.1972597),35.1972597,129.1235694,6,12,72,TRAFFIC_SIGNALS
crosswalk:157,해운대구,반여동,반여낙천대2차(무정초교),POINT(129.1236081 35.1973836),35.1973836,129.1236081,4,4,16,TRAFFIC_SIGNALS
crosswalk:158,해운대구,반송동,반송 낙원탕 앞,POINT(129.1485595 35.2274079),35.2274079,129.1485595,7,8,54,TRAFFIC_SIGNALS
crosswalk:159,해운대구,우동,신세계백화점(센텀시티점),POINT(129.1296610 35.1698935),35.1698935,129.1296610,8,19,92,TRAFFIC_SIGNALS
crosswalk:160,해운대구,우동,신세계백화점(센텀시티점),POINT(129.1293988 35.1699910),35.1699910,129.1293988,6,12,89,TRAFFIC_SIGNALS
crosswalk:161,해운대구,좌동,,POINT(129.1800467 35.1676397),35.1676397,129.1800467,6,12,74,TRAFFIC_SIGNALS
crosswalk:162,해운대구,좌동,,POINT(129.1809190 35.1674165),35.1674165,129.1809190,8,12,81,TRAFFIC_SIGNALS
crosswalk:163,해운대구,반송동,청년회방범초소앞,POINT(129.1526878 35.2297842),35.2297842,129.1526878,9,16,111,TRAFFIC_SIGNALS
crosswalk:164,해운대구,우동,해운대교회,POINT(129.1567513 35.1640472),35.1640472,129.1567513,7,17,118,TRAFFIC_SIGNALS
crosswalk:165,해운대구,반여동,,POINT(129.1237034 35.2018722),35.2018722,129.1237034,8,11,84,TRAFFIC_SIGNALS
crosswalk:166,해운대구,반여동,반여동 탑마트,POINT(129.1204034 35.2043744),35.2043744,129.1204034,6,12,68,TRAFFIC_SIGNALS
crosswalk:167,해운대구,재송동,삼화파크맨션,POINT(129.1268235 35.1799736),35.1799736,129.1268235,6,13,103,TRAFFIC_SIGNALS
crosswalk:168,해운대구,우동,벡스코 제2전시장,POINT(129.1332903 35.1661015),35.1661015,129.1332903,6,11,67,TRAFFIC_SIGNALS
crosswalk:169,해운대구,좌동,"영남아파트(6),(7)직결",POINT(129.1826499 35.1669554),35.1669554,129.1826499,4,13,81,TRAFFIC_SIGNALS
