sourceId,districtGu,name,point,lat,lng,widthMeter,areaSquareMeter,structureCode,structureName,scls,ufid
stairs:920,기장군,계단,POINT(129.2200279 35.2648066),35.2648066,129.2200279,0.00,4.60,SRD001,계단,C0393323,100035909099C03910100000000022451
stairs:921,기장군,계단,POINT(129.2205505 35.2653676),35.2653676,129.2205505,0.00,4.67,SRD001,계단,C0393323,100035909099C03910100000000022452
stairs:922,기장군,계단,POINT(129.2206383 35.2573694),35.2573694,129.2206383,0.00,59.18,SRD001,계단,C0393323,100035909099C03910100000000022453
stairs:923,기장군,계단,POINT(129.2203820 35.2589311),35.2589311,129.2203820,0.00,8.80,SRD001,계단,C0393323,100035909099C03910100000000022454
stairs:924,기장군,계단,POINT(129.2184997 35.2604335),35.2604335,129.2184997,0.00,17.25,SRD001,계단,C0393323,100035909099C03910100000000022455
stairs:925,기장군,계단,POINT(129.2209499 35.2628232),35.2628232,129.2209499,0.00,26.02,SRD001,계단,C0393323,100035909099C03910100000000022456
stairs:926,기장군,계단,POINT(129.2202804 35.2612656),35.2612656,129.2202804,0.00,14.84,SRD001,계단,C0393323,100035909099C03910100000000022457
stairs:927,기장군,계단,POINT(129.2195736 35.2612761),35.2612761,129.2195736,0.00,24.16,SRD001,계단,C0393323,100035909099C03910100000000022458
stairs:928,기장군,계단,POINT(129.2197613 35.2602806),35.2602806,129.2197613,0.00,8.54,SRD001,계단,C0393323,100035909099C03910100000000022459
stairs:929,기장군,계단,POINT(129.2177986 35.2615467),35.2615467,129.2177986,0.00,56.14,SRD001,계단,C0393323,100035909099C03910100000000022460
stairs:930,기장군,계단,POINT(129.2220742 35.2701401),35.2701401,129.2220742,0.00,393.86,SRD001,계단,C0393323,100035909099C03910100000000022461
stairs:931,기장군,계단,POINT(129.2149698 35.2578172),35.2578172,129.2149698,0.00,7.69,SRD001,계단,C0393323,100035909099C03910100000000022462
stairs:932,기장군,계단,POINT(129.2116428 35.2639392),35.2639392,129.2116428,0.00,120.57,SRD001,계단,C0393323,100035909099C03910100000000022463
stairs:933,기장군,계단,POINT(129.2120139 35.2634520),35.2634520,129.2120139,0.00,58.75,SRD001,계단,C0393323,100035909099C03910100000000022464
stairs:934,기장군,계단,POINT(129.1298923 35.2687418),35.2687418,129.1298923,0.00,10.71,SRD001,계단,C0393323,100035909096C03910100000000022465
stairs:935,기장군,계단,POINT(129.2133660 35.2552912),35.2552912,129.2133660,0.00,57.29,SRD001,계단,C0393323,100035909099C03910100000000022466
stairs:936,기장군,교리초교,POINT(129.2165965 35.2549561),35.2549561,129.2165965,0.00,72.79,SRD001,계단,C0393323,100035909099C03910100000000022467
stairs:937,기장군,교리초교,POINT(129.2161437 35.2549467),35.2549467,129.2161437,0.00,74.47,SRD001,계단,C0393323,100035909099C03910100000000022468
stairs:938,기장군,계단,POINT(129.2203210 35.2566379),35.2566379,129.2203210,0.00,15.63,SRD001,계단,C0393323,100035909099C03910100000000022469
stairs:939,기장군,계단,POINT(129.1626710 35.2558130),35.2558130,129.1626710,0.00,12.72,SRD001,계단,C0393323,100035909097C03910100000000022470
stairs:940,기장군,계단,POINT(129.2032292 35.2467819),35.2467819,129.2032292,0.00,148.05,SRD001,계단,C0393323,100035913009C03910100000000022472
stairs:941,기장군,계단,POINT(129.2194805 35.2464133),35.2464133,129.2194805,0.00,15.86,SRD001,계단,C0393323,100035913009C03910100000000022473
stairs:942,기장군,계단,POINT(129.2227428 35.2446634),35.2446634,129.2227428,0.00,24.40,SRD001,계단,C0393323,100035913009C03910100000000022474
stairs:943,기장군,계단,POINT(129.2203913 35.2031167),35.2031167,129.2203913,0.00,2.92,SRD001,계단,C0393323,100035913019C03910100000000022477
stairs:944,기장군,계단,POINT(129.2201126 35.2026228),35.2026228,129.2201126,0.00,2.68,SRD001,계단,C0393323,100035913019C03910100000000022478
stairs:945,기장군,계단,POINT(129.2245910 35.2152940),35.2152940,129.2245910,0.00,49.35,SRD001,계단,C0393323,100035913019C03910100000000022479
stairs:946,기장군,계단,POINT(129.1701681 35.2416208),35.2416208,129.1701681,0.00,11.19,SRD001,계단,C0393323,100035913007C03910100000000022480
stairs:947,기장군,계단,POINT(129.1716036 35.2386806),35.2386806,129.1716036,0.00,7.94,SRD001,계단,C0393323,100035913007C03910100000000022608
stairs:948,기장군,계단,POINT(129.1684925 35.2414791),35.2414791,129.1684925,0.00,94.29,SRD001,계단,C0393323,100035913007C03910100000000022612
stairs:949,기장군,계단,POINT(129.1685387 35.2419762),35.2419762,129.1685387,0.00,38.10,SRD001,계단,C0393323,100035913007C03910100000000022613
stairs:950,기장군,계단,POINT(129.1698783 35.2391581),35.2391581,129.1698783,0.00,16.46,SRD001,계단,C0393323,100035913007C03910100000000022621
stairs:951,기장군,계단,POINT(129.1679604 35.2385525),35.2385525,129.1679604,0.00,32.65,SRD001,계단,C0393323,100035913007C03910100000000022624
stairs:952,기장군,계단,POINT(129.1711129 35.2376169),35.2376169,129.1711129,0.00,14.85,SRD001,계단,C0393323,100035913007C03910100000000022625
stairs:953,기장군,계단,POINT(129.1698819 35.2147827),35.2147827,129.1698819,0.00,5.27,SRD001,계단,C0393323,100035913017C03910100000000022627
stairs:954,기장군,계단,POINT(129.1699522 35.2140735),35.2140735,129.1699522,0.00,12.13,SRD001,계단,C0393323,100035913017C03910100000000022633
stairs:955,기장군,계단,POINT(129.1914175 35.2163110),35.2163110,129.1914175,0.00,16.24,SRD001,계단,C0393323,100035913018C03910100000000022645
stairs:956,기장군,계단,POINT(129.2166715 35.2378042),35.2378042,129.2166715,0.00,7.65,SRD001,계단,C0393323,100035913009C03910100000000022646
stairs:957,기장군,계단,POINT(129.2165975 35.2377003),35.2377003,129.2165975,0.00,8.81,SRD001,계단,C0393323,100035913009C03910100000000022647
stairs:958,기장군,계단,POINT(129.2077745 35.2437463),35.2437463,129.2077745,0.00,19.05,SRD001,계단,C0393323,100035913009C03910100000000022648
stairs:959,기장군,계단,POINT(129.2103590 35.2392235),35.2392235,129.2103590,0.00,3.16,SRD001,계단,C0393323,100035913009C03910100000000022649
stairs:960,기장군,계단,POINT(129.2103963 35.2392594),35.2392594,129.2103963,0.00,6.82,SRD001,계단,C0393323,100035913009C03910100000000022650
stairs:961,기장군,계단,POINT(129.2138422 35.2358163),35.2358163,129.2138422,0.00,19.58,SRD001,계단,C0393323,100035913009C03910100000000022651
stairs:962,기장군,계단,POINT(129.2118413 35.2491585),35.2491585,129.2118413,0.00,29.33,SRD001,계단,C0393323,100035913009C03910100000000022652
stairs:963,기장군,계단,POINT(129.2118047 35.2359903),35.2359903,129.2118047,0.00,9.89,SRD001,계단,C0393323,100035913009C03910100000000022653
stairs:964,기장군,계단,POINT(129.2161913 35.2393417),35.2393417,129.2161913,0.00,39.77,SRD001,계단,C0393323,100035913009C03910100000000022654
stairs:965,기장군,기장초교,POINT(129.2119480 35.2460815),35.2460815,129.2119480,0.00,45.64,SRD001,계단,C0393323,100035913009C03910100000000022655
stairs:966,기장군,사라수변공원,POINT(129.2059004 35.2376236),35.2376236,129.2059004,0.00,45.08,SRD001,계단,C0393323,100035913009C03910100000000022656
stairs:967,기장군,사라수변공원,POINT(129.2057943 35.2376697),35.2376697,129.2057943,0.00,53.75,SRD001,계단,C0393323,100035913009C03910100000000022657
stairs:968,기장군,대청초교,POINT(129.2101283 35.2352517),35.2352517,129.2101283,0.00,41.47,SRD001,계단,C0393323,100035913009C03910100000000022658
stairs:969,기장군,대청초교,POINT(129.2102450 35.2348681),35.2348681,129.2102450,0.00,88.53,SRD001,계단,C0393323,100035913009C03910100000000022659
stairs:970,기장군,대청초교,POINT(129.2100527 35.2349924),35.2349924,129.2100527,0.00,86.94,SRD001,계단,C0393323,100035913009C03910100000000022660
stairs:971,기장군,대청초교,POINT(129.2100235 35.2351545),35.2351545,129.2100235,0.00,82.98,SRD001,계단,C0393323,100035913009C03910100000000022661
stairs:972,기장군,대청초교,POINT(129.2102599 35.2353863),35.2353863,129.2102599,0.00,109.61,SRD001,계단,C0393323,100035913009C03910100000000022662
stairs:973,기장군,계단,POINT(129.2106452 35.2433074),35.2433074,129.2106452,0.00,9.61,SRD001,계단,C0393323,100035913009C03910100000000022665
stairs:974,기장군,계단,POINT(129.2177585 35.2409831),35.2409831,129.2177585,0.00,6.44,SRD001,계단,C0393323,100035913009C03910100000000022666
stairs:975,기장군,기장군청,POINT(129.2213107 35.2447800),35.2447800,129.2213107,0.00,234.56,SRD001,계단,C0393323,100035913009C03910100000000022667
stairs:976,기장군,계단,POINT(129.2242879 35.2286904),35.2286904,129.2242879,0.00,8.52,SRD001,계단,C0393323,100035913009C03910100000000022668
stairs:977,기장군,계단,POINT(129.2231063 35.2318977),35.2318977,129.2231063,0.00,21.60,SRD001,계단,C0393323,100035913009C03910100000000022669
stairs:978,기장군,계단,POINT(129.2031895 35.2469976),35.2469976,129.2031895,0.00,11.51,SRD001,계단,C0393323,100035913009C03910100000000022670
stairs:979,기장군,계단,POINT(129.2024959 35.2473212),35.2473212,129.2024959,0.00,17.71,SRD001,계단,C0393323,100035913009C03910100000000022671
stairs:980,기장군,계단,POINT(129.2040557 35.2467630),35.2467630,129.2040557,0.00,60.24,SRD001,계단,C0393323,100035913009C03910100000000022672
stairs:981,기장군,사라수변공원,POINT(129.2056627 35.2376365),35.2376365,129.2056627,0.00,43.64,SRD001,계단,C0393323,100035913009C03910100000000022673
stairs:982,기장군,계단,POINT(129.2057641 35.2042004),35.2042004,129.2057641,0.00,29.15,SRD001,계단,C0393323,100035913019C03910100000000022674
stairs:983,기장군,계단,POINT(129.2084571 35.2047106),35.2047106,129.2084571,0.00,12.50,SRD001,계단,C0393323,100035913019C03910100000000022675
stairs:984,기장군,계단,POINT(129.2083466 35.2016862),35.2016862,129.2083466,0.00,10.21,SRD001,계단,C0393323,100035913019C03910100000000022676
stairs:985,기장군,계단,POINT(129.2087509 35.2016881),35.2016881,129.2087509,0.00,11.39,SRD001,계단,C0393323,100035913019C03910100000000022677
stairs:986,기장군,계단,POINT(129.2089616 35.2033251),35.2033251,129.2089616,0.00,9.00,SRD001,계단,C0393323,100035913019C03910100000000022678
stairs:987,기장군,내리초교,POINT(129.2058606 35.2056659),35.2056659,129.2058606,0.00,98.31,SRD001,계단,C0393323,100035913019C03910100000000022679
stairs:988,기장군,계단,POINT(129.2066820 35.2067249),35.2067249,129.2066820,0.00,11.65,SRD001,계단,C0393323,100035913019C03910100000000022680
stairs:989,기장군,계단,POINT(129.2061316 35.2088605),35.2088605,129.2061316,0.00,10.88,SRD001,계단,C0393323,100035913019C03910100000000022681
stairs:990,기장군,계단,POINT(129.2233162 35.2154210),35.2154210,129.2233162,0.00,9.19,SRD001,계단,C0393323,100035913019C03910100000000022682
stairs:991,기장군,내리초교,POINT(129.2054104 35.2054496),35.2054496,129.2054104,0.00,47.44,SRD001,계단,C0393323,100035913019C03910100000000022683
stairs:992,기장군,내리초교,POINT(129.2054899 35.2056471),35.2056471,129.2054899,0.00,124.50,SRD001,계단,C0393323,100035913019C03910100000000022684
stairs:993,기장군,계단,POINT(129.2053756 35.2178280),35.2178280,129.2053756,0.00,42.27,SRD001,계단,C0393323,100035913019C03910100000000022685
stairs:994,기장군,신앙촌,POINT(129.2312064 35.2489113),35.2489113,129.2312064,0.00,126.57,SRD001,계단,C0393323,100035913010C03910100000000022686
stairs:995,기장군,신앙촌,POINT(129.2317657 35.2490930),35.2490930,129.2317657,0.00,132.68,SRD001,계단,C0393323,100035913010C03910100000000022687
stairs:996,기장군,계단,POINT(129.2441001 35.2421136),35.2421136,129.2441001,0.00,23.60,SRD001,계단,C0393323,100035913010C03910100000000022688
stairs:997,기장군,계단,POINT(129.2436832 35.2420451),35.2420451,129.2436832,0.00,9.45,SRD001,계단,C0393323,100035913010C03910100000000022689
