"elevatorId","stationId","stationName","lineName","entranceNo","point"
"81","111","남포","1","5","POINT(129.03515743460278 35.098156201946985)"
"82","111","남포","1","4","POINT(129.03489571480387 35.097773091406616)"
"83","111","남포","1","5","POINT(129.03515743460278 35.098156201946985)"
"85","110","자갈치","1","1","POINT(129.02463009830853 35.096791510128526)"
"90","109","토성","1","5","POINT(129.01985065082786 35.09995328379571)"
"94","108","동대신","1","1","POINT(129.01734369011047 35.11124172893108)"
"95","108","동대신","1","2","POINT(129.017051037041 35.1113817770798)"
"98","107","서대신","1","1","POINT(129.01167015259 35.1110927304573)"
"99","107","서대신","1","2","POINT(129.01230186883777 35.11046944112571)"
"105","105","괴정","1","5","POINT(128.99342246263518 35.10033678839464)"
"109","104","사하","1","1","POINT(128.982189332852 35.1001515452756)"
"110","104","사하","1","2","POINT(128.982117894838 35.0999184057055)"
"111","104","사하","1","1","POINT(128.982189332852 35.1001515452756)"
"112","104","사하","1","2","POINT(128.982117894838 35.0999184057055)"
"113","103","당리","1","3","POINT(128.9734496506298 35.103781758572104)"
"114","103","당리","1","4","POINT(128.973323642612 35.1035585140188)"
"115","103","당리","1","3","POINT(128.9734496506298 35.103781758572104)"
"118","102","하단","1","1","POINT(128.96472858019703 35.10639270924542)"
"119","102","하단","1","2","POINT(128.9647207947398 35.10606840822672)"
"120","102","하단","1","6","POINT(128.96644248117335 35.10606751924393)"
"123","101","신평","1","3","POINT(128.9604647898998 35.09503469285904)"
"124","101","신평","1","4","POINT(128.96193566518687 35.09510101163334)"
"127","100","동매","1","1","POINT(128.9741391960623 35.08963091529706)"
"128","100","동매","1","1","POINT(128.9741391960623 35.08963091529706)"
"129","100","동매","1","3","POINT(128.973069586993 35.0893779746994)"
"130","100","동매","1","4","POINT(128.97312265217602 35.09021521517138)"
"131","100","동매","1","5","POINT(128.97287187764 35.089363169056)"
"132","100","동매","1","6","POINT(128.9727877800609 35.089968333410184)"
"133","100","동매","1","6","POINT(128.9727877800609 35.089968333410184)"
"134","100","동매","1","6","POINT(128.9727877800609 35.089968333410184)"
"138","99","장림","1","3","POINT(128.97687574994546 35.08217855629147)"
"141","98","신장림","1","1","POINT(128.976462615894 35.0745972877085)"
"142","98","신장림","1","4","POINT(128.976921356478 35.0754369253963)"
"145","97","낫개","1","1","POINT(128.97937321528238 35.06439340310777)"
"147","97","낫개","1","6","POINT(128.97987501947557 35.06565588728095)"
"150","96","다대포항","1","1","POINT(128.97080302526246 35.05714323484858)"
"151","96","다대포항","1","3","POINT(128.97140987310016 35.05822381274787)"
"152","96","다대포항","1","4","POINT(128.97169168526412 35.05809306393948)"
"155","95","다대포해수욕장","1","3","POINT(128.96584614686094 35.048328914468755)"
"156","95","다대포해수욕장","1","4","POINT(128.96618588649181 35.047872809806044)"
"159","243","양산","2","2","POINT(129.0265445712092 35.338622028327116)"
"160","243","양산","2","1","POINT(129.026192092959 35.3381593437076)"
"161","243","양산","2","1","POINT(129.026192092959 35.3381593437076)"
"162","243","양산","2","2","POINT(129.0265445712092 35.338622028327116)"
"163","242","남양산","2","1","POINT(129.01902504513683 35.32547400427802)"
"164","242","남양산","2","3","POINT(129.0193976039136 35.326305847376524)"
"167","241","부산대양산캠퍼스","2","3","POINT(129.0131444961697 35.317137339303784)"
"168","241","부산대양산캠퍼스","2","3","POINT(129.0131444961697 35.317137339303784)"
