placeId,name,category,address,point,providerPlaceId
86,서구가족복지센터,ETC,"부산광역시 서구 구덕로 127, 1층 (토성동5가)",POINT(129.0220779 35.0966012),
87,서부산세무서,ETC,"부산광역시 서구 대영로 10, 서부산세무서 (서대신동2가)",POINT(129.0129503 35.1100872),
88,송도오션파크,ETC,부산광역시 서구 송도해변로 36,POINT(129.0172730 35.0727470),
89,내원정사 옆,ETC,부산광역시 서구 보수대로320번길 59,POINT(129.0147816 35.1216533),
90,남부민동 현장사무실 화장실,ETC,"부산광역시 서구 충무대로 166-24, 항만관리사업소 (남부민동)",POINT(129.0264920 35.0858120),
91,대신공원 민속예술관 옆,ETC,부산광역시 서구 대신공원로 37-20 (서대신동3가),POINT(129.0181000 35.1239000),
92,천마산 조각공원,ETC,부산광역시 서구 암남동 산4-26,POINT(129.0158200 35.0881700),
93,암남동 예비군교장,ETC,부산광역시 서구 암남공원로522번길160,POINT(129.0156760 35.0687176),
94,송림공원 내,ETC,부산광역시 서구 송도해변로171,POINT(129.0228343 35.0771589),
95,암남공원1호광장(두도-희망정),ETC,부산광역시 서구 암남동 193-4(암남공원 후문),POINT(129.0141639 35.0584512),
96,구덕야영장,ETC,부산광역시 서구 보수대로320번길 59,POINT(129.0096195 35.1258594),
97,천마산 체육시설,ETC,부산광역시 서구 암남동 산4-26,POINT(129.0161000 35.0878000),
98,서부교육청,ETC,"부산광역시 서구 꽃마을로 33, 부산서부교육청 (서대신동3가)",POINT(129.0119500 35.1170840),
99,광복기념관,ETC,"부산광역시 서구 망양로193번길 167, 광복기념관 (동대신동2가)",POINT(129.0276000 35.1134000),
100,초장동주민센터,ETC,부산광역시 서구 초장로27번길 32,POINT(129.0202631 35.0960218),
101,동대신3동주민센터,ETC,"부산광역시 서구 대영로73번길 92, 동대신3동주민센터 (동대신동3가)",POINT(129.0172625 35.1143972),
102,서구 현장사무실 화장실,ETC,부산광역시 서구 새벽해안시장길,POINT(129.0255800 35.0955630),
103,국민보험공단 부산서부지사,ETC,부산광역시 서구 구덕로285번길 7 (서대신동1가),POINT(129.0177905 35.1092329),
