place_key,source_dataset,source_place_id,place_name,ui_category,raw_category,source_category,category_source,category_match_method,is_adopted_category,district_gu,address,point_wkt,latitude,longitude,provider_place_id,public_facility_type,public_facility_id,public_facility_name,public_facility_address,accessibility_count,accessibility_type_codes,accessibility_type_labels
place:5525,erd_ready,5525,세웅빌딩,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 수영로 295,POINT(129.0983626 35.1370150),35.1370150,129.0983626,,,,,,6,ramp|accessibleEntrance|elevator|accessibleToilet|accessibleParking|stepFree,경사로|접근 가능 출입구|엘리베이터|장애인 화장실|장애인 주차장|단차 없음
place:5526,erd_ready,5526,금융업소 등 일반업무시설,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 용소로21번길 56,POINT(129.1039806 35.1357394),35.1357394,129.1039806,,,,,,1,accessibleEntrance,접근 가능 출입구
place:5527,erd_ready,5527,블루스카이,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 용소로34번길 6-7,POINT(129.1002747 35.1345035),35.1345035,129.1002747,,,,,,5,ramp|accessibleEntrance|elevator|accessibleParking|stepFree,경사로|접근 가능 출입구|엘리베이터|장애인 주차장|단차 없음
place:5528,erd_ready,5528,스펀지마트,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 용소로 54,POINT(129.1008693 35.1325026),35.1325026,129.1008693,,,,,,3,ramp|accessibleEntrance|stepFree,경사로|접근 가능 출입구|단차 없음
place:5529,erd_ready,5529,더맛 한우,음식·카페,FOOD_CAFE,FOOD_CAFE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 조각공원로 45,POINT(129.1009660 35.1310897),35.1310897,129.1009660,,,,,,3,ramp|accessibleEntrance|stepFree,경사로|접근 가능 출입구|단차 없음
place:5530,erd_ready,5530,베스타워,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 조각공원로 49,POINT(129.1009694 35.1314031),35.1314031,129.1009694,,,,,,2,ramp|stepFree,경사로|단차 없음
place:5531,erd_ready,5531,대천초등학교,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 조각공원로 19,POINT(129.1010297 35.1292019),35.1292019,129.1010297,,,,,,5,ramp|accessibleEntrance|accessibleToilet|accessibleParking|stepFree,경사로|접근 가능 출입구|장애인 화장실|장애인 주차장|단차 없음
place:5532,erd_ready,5532,부경대학교,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 용소로 45,POINT(129.1048655 35.1311752),35.1311752,129.1048655,,,,,,6,ramp|accessibleEntrance|elevator|accessibleToilet|accessibleParking|stepFree,경사로|접근 가능 출입구|엘리베이터|장애인 화장실|장애인 주차장|단차 없음
place:5533,erd_ready,5533,대천중학교,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 신선로 491,POINT(129.1033023 35.1285448),35.1285448,129.1033023,,,,,,6,ramp|accessibleEntrance|elevator|accessibleToilet|accessibleParking|stepFree,경사로|접근 가능 출입구|엘리베이터|장애인 화장실|장애인 주차장|단차 없음
place:5534,erd_ready,5534,이솔(생)산오리,음식·카페,FOOD_CAFE,FOOD_CAFE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 신선로 499,POINT(129.1036011 35.1288437),35.1288437,129.1036011,,,,,,3,ramp|accessibleEntrance|stepFree,경사로|접근 가능 출입구|단차 없음
