id,placeId,featureType,isAvailable
612,1345,accessibleToilet,true
613,1346,accessibleToilet,true
614,1347,accessibleToilet,true
615,1352,accessibleToilet,true
616,1353,accessibleToilet,true
617,1360,accessibleToilet,true
618,1369,accessibleToilet,true
619,1374,accessibleToilet,true
620,1375,accessibleToilet,true
621,1379,accessibleToilet,true
622,1383,accessibleToilet,true
623,1385,accessibleToilet,true
624,1386,accessibleToilet,true
625,1388,accessibleToilet,true
626,1397,accessibleToilet,true
627,1400,accessibleToilet,true
628,1403,accessibleToilet,true
629,1413,accessibleToilet,true
630,1420,accessibleToilet,true
631,1424,accessibleToilet,true
632,1427,accessibleToilet,true
633,1433,accessibleToilet,true
634,1434,accessibleToilet,true
635,1447,accessibleToilet,true
636,1453,accessibleToilet,true
637,1454,accessibleToilet,true
638,1455,accessibleToilet,true
639,1456,accessibleToilet,true
640,1457,accessibleToilet,true
641,1459,accessibleToilet,true
642,1464,accessibleToilet,true
643,1465,accessibleToilet,true
644,1469,accessibleToilet,true
645,1472,accessibleToilet,true
646,1473,accessibleToilet,true
647,1476,accessibleToilet,true
648,1486,accessibleToilet,true
649,1489,accessibleToilet,true
650,1492,accessibleToilet,true
651,1493,accessibleToilet,true
652,1496,accessibleToilet,true
653,1497,accessibleToilet,true
654,1500,accessibleToilet,true
655,1501,accessibleToilet,true
656,1509,accessibleToilet,true
657,1514,accessibleToilet,true
658,1515,accessibleToilet,true
659,1517,accessibleToilet,true
660,1518,accessibleToilet,true
661,1519,accessibleToilet,true
662,1520,accessibleToilet,true
663,1521,accessibleToilet,true
664,1522,accessibleToilet,true
665,1528,accessibleToilet,true
666,1532,accessibleToilet,true
667,1535,accessibleToilet,true
668,1537,accessibleToilet,true
669,1538,accessibleToilet,true
670,1542,accessibleToilet,true
671,1546,accessibleToilet,true
672,1550,accessibleToilet,true
673,1551,accessibleToilet,true
674,1555,accessibleToilet,true
675,1561,accessibleToilet,true
676,1562,accessibleToilet,true
677,1563,accessibleToilet,true
678,1564,accessibleToilet,true
679,1568,accessibleToilet,true
680,1570,accessibleToilet,true
681,1571,accessibleToilet,true
682,1573,accessibleToilet,true
683,1575,accessibleToilet,true
684,1578,accessibleToilet,true
685,1581,accessibleToilet,true
686,1583,accessibleToilet,true
687,1584,accessibleToilet,true
688,1586,accessibleToilet,true
689,1588,accessibleToilet,true
690,1589,accessibleToilet,true
691,1591,accessibleToilet,true
692,1592,accessibleToilet,true
693,1595,accessibleToilet,true
694,1597,accessibleToilet,true
695,1598,accessibleToilet,true
696,1600,accessibleToilet,true
697,1606,accessibleToilet,true
698,1607,accessibleToilet,true
699,1608,accessibleToilet,true
700,1612,accessibleToilet,true
701,1613,accessibleToilet,true
702,1614,accessibleToilet,true
703,1615,accessibleToilet,true
704,1621,accessibleToilet,true
705,1624,accessibleToilet,true
706,1627,accessibleToilet,true
707,1630,accessibleToilet,true
708,1632,accessibleToilet,true
709,1634,accessibleToilet,true
710,1639,accessibleToilet,true
711,1643,accessibleToilet,true
712,1644,accessibleToilet,true
713,1656,accessibleToilet,true
714,1657,accessibleToilet,true
715,1659,accessibleToilet,true
716,1662,accessibleToilet,true
717,1663,accessibleToilet,true
718,1666,accessibleToilet,true
719,1669,accessibleToilet,true
720,1671,accessibleToilet,true
721,1674,accessibleToilet,true
722,1675,accessibleToilet,true
723,1677,accessibleToilet,true
724,1679,accessibleToilet,true
725,1680,accessibleToilet,true
726,1682,accessibleToilet,true
727,1683,accessibleToilet,true
728,1687,accessibleToilet,true
729,1688,accessibleToilet,true
730,1690,accessibleToilet,true
731,1696,accessibleToilet,true
732,1697,accessibleToilet,true
733,1699,accessibleToilet,true
734,1701,accessibleToilet,true
735,1714,accessibleToilet,true
736,1715,accessibleToilet,true
737,1716,accessibleToilet,true
738,1717,accessibleToilet,true
739,1718,accessibleToilet,true
