key,targetType,targetId,districtGu,name,category,status,statusLabel,note,lat,lng,fixedLat,fixedLng,fixedSource,fixedSourceUrl,kakaoUrlX,kakaoUrlY,sourceKey,placeId,ufid,sourceId,updatedAt,evidenceAction,evidencePrimarySource,kakaoStatus,kakaoPlaceName,kakaoDistanceM,poiStatus,poiName,poiDistanceM
facility:2928,facility,2928,강서구,봉화산등산로,TOILET,KEEP,유지,[지도/POI 1차판정] 카카오 지도에서 상위 시설/공원 근거리 확인 / 카카오=봉화산(81.1m); POI=봉화산(81.8m),35.1207300,128.8715000,,,,,,,public_toilet:1541,2928,,public_toilet:1541,2026-04-27T08:19:05.747867+00:00,POI_ONLY_CATEGORY_RECHECK,POI,KAKAO_WEAK,봉화산,81.1,MATCH_MEDIUM,봉화산,81.8
facility:2926,facility,2926,강서구,부산강서경찰서,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=부산강서경찰서(19.8m); POI=부산강서경찰서(13.8m),35.1166100,128.9064000,,,,,,,public_toilet:1538,2926,,public_toilet:1538,2026-04-27T08:19:05.747867+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,부산강서경찰서,19.8,MATCH_STRONG,부산강서경찰서,13.8
facility:2880,facility,2880,강서구,부산강서우체국 1층,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=부산강서우체국(50.5m); POI=부산강서우체국(52.7m),35.2175130,128.9587670,,,,,,,public_toilet:1465,2880,,public_toilet:1465,2026-04-27T08:19:05.747867+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,부산강서우체국,50.5,MATCH_STRONG,부산강서우체국,52.7
facility:2934,facility,2934,강서구,부산광역시농업기술센터 화장실,TOILET,KEEP,유지,[지도/POI 1차판정] 카카오 지도 근거 확인 / 카카오=농업기술센터 농기앤카페(9.2m); POI=공중화장실(6.7m),35.2132759,128.9868233,,,,,,,public_toilet:1551,2934,,public_toilet:1551,2026-04-27T08:19:05.747867+00:00,RENAME_REVIEW,KAKAO,KAKAO_MEDIUM,농업기술센터 농기앤카페,9.2,MATCH_STRONG,공중화장실,6.7
facility:2999,facility,2999,강서구,부산대저2동우체국,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=부산대저2동우체국(2.1m); POI=부산대저2동우체국(4.7m),35.1802870,128.9561400,,,,,,,public_toilet:1649,2999,,public_toilet:1649,2026-04-27T08:19:05.747867+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,부산대저2동우체국,2.1,MATCH_STRONG,부산대저2동우체국,4.7
facility:2944,facility,2944,강서구,부산신호동우체국,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=부산신호동우체국(5.4m); POI=부산신호동우체국(5.0m),35.0852160,128.8791990,,,,,,,public_toilet:1564,2944,,public_toilet:1564,2026-04-27T08:19:05.747867+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,부산신호동우체국,5.4,MATCH_STRONG,부산신호동우체국,5.0
facility:2882,facility,2882,강서구,부산지방검찰청서부지청민원실,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=부산지방검찰청 서부지청(51.6m); POI=부산지방검찰청서부지청(39.8m),35.0978500,128.9085000,,,,,,,public_toilet:1469,2882,,public_toilet:1469,2026-04-27T08:19:05.747867+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,부산지방검찰청 서부지청,51.6,MATCH_STRONG,부산지방검찰청서부지청,39.8
facility:2900,facility,2900,강서구,부산지방기상청 1층,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=부산지방기상청(35.5m); POI=공중화장실(33.8m),35.2174600,128.9602000,,,,,,,public_toilet:1500,2900,,public_toilet:1500,2026-04-27T08:19:05.747867+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,부산지방기상청,35.5,MATCH_STRONG,공중화장실,33.8
facility:2957,facility,2957,강서구,부산지사동우체국,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=부산지사동우체국(3.1m); POI=부산지사동우체국(0.6m),35.1508720,128.8321910,,,,,,,public_toilet:1584,2957,,public_toilet:1584,2026-04-27T08:19:05.747867+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,부산지사동우체국,3.1,MATCH_STRONG,부산지사동우체국,0.6
facility:2959,facility,2959,강서구,"부산해양경찰서
명지파출소",TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=명지파출소(20.2m); POI=부산해양경찰서명지파출소(21.1m),35.1064600,128.9313000,,,,,,,public_toilet:1587,2959,,public_toilet:1587,2026-04-27T08:19:05.747867+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,명지파출소,20.2,MATCH_STRONG,부산해양경찰서명지파출소,21.1
facility:2981,facility,2981,강서구,북부산영업소,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=한국도로공사서비스 북부산영업소(3.2m); POI=남해선북부산영업소(4.8m),35.2220290,128.9411030,,,,,,,public_toilet:1619,2981,,public_toilet:1619,2026-04-27T08:19:05.747867+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,한국도로공사서비스 북부산영업소,3.2,MATCH_STRONG,남해선북부산영업소,4.8
facility:2881,facility,2881,강서구,사덕시장,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=사덕시장(22.5m); POI=공중화장실(5.1m),35.2131300,128.9826000,,,,,,,public_toilet:1466,2881,,public_toilet:1466,2026-04-27T08:19:05.747867+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,사덕시장,22.5,MATCH_STRONG,공중화장실,5.1
facility:2919,facility,2919,강서구,삼성자동차동문(남),TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / POI=공중화장실(92.5m),35.0925300,128.8875000,,,,,,,public_toilet:1530,2919,,public_toilet:1530,2026-04-27T08:19:05.747867+00:00,POI_ONLY_RECHECK,POI,KAKAO_NO_RESULT,,,MATCH_MEDIUM,공중화장실,92.5
facility:2899,facility,2899,강서구,상수도사업본부 강서사업소,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=부산광역시 상수도사업본부 강서사업소(43.8m); POI=공중화장실(2.2m),35.1709500,128.9586000,,,,,,,public_toilet:1498,2899,,public_toilet:1498,2026-04-27T08:19:05.747867+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_MEDIUM,부산광역시 상수도사업본부 강서사업소,43.8,MATCH_STRONG,공중화장실,2.2
facility:2902,facility,2902,강서구,생교동마을회관앞,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / POI=생교경로당(13.8m),35.0540000,128.8414000,,,,,,,public_toilet:1502,2902,,public_toilet:1502,2026-04-27T08:19:05.747867+00:00,POI_ONLY_CATEGORY_RECHECK,POI,KAKAO_NO_RESULT,,,MATCH_STRONG,생교경로당,13.8
facility:3005,facility,3005,강서구,서부산(순천)휴게소,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=CU E서부산휴게소순천점(42.2m); POI=서부산휴게소(25.2m),35.1570900,128.9486000,,,,,,,public_toilet:1657,3005,,public_toilet:1657,2026-04-27T08:19:05.747867+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,CU E서부산휴게소순천점,42.2,MATCH_STRONG,서부산휴게소,25.2
facility:2896,facility,2896,강서구,선창입구,TOILET,KEEP,유지,[지도/POI 1차판정] 카카오 지도 근거 확인 / 카카오=공중화장실(12.3m); POI=공중화장실(9.3m),35.0667100,128.8335000,,,,,,,public_toilet:1495,2896,,public_toilet:1495,2026-04-27T08:19:05.747867+00:00,RENAME_REVIEW,KAKAO,KAKAO_STRONG,공중화장실,12.3,MATCH_STRONG,공중화장실,9.3
facility:2967,facility,2967,강서구,소양보육원앞,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=천성보건진료소(2033.3m); POI=공중화장실(8.5m),35.0434000,128.8299000,,,,,,,public_toilet:1599,2967,,public_toilet:1599,2026-04-27T08:19:05.747867+00:00,POI_ONLY_RECHECK,POI,KAKAO_NEARBY_ONLY,천성보건진료소,2033.3,MATCH_STRONG,공중화장실,8.5
facility:2935,facility,2935,강서구,송정공원1(공원),TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=송정공원 출입구1(135.8m); POI=송정공원(23.5m),35.1014000,128.8244000,,,,,,,public_toilet:1552,2935,,public_toilet:1552,2026-04-27T08:19:05.747867+00:00,POI_ONLY_CATEGORY_RECHECK,POI,KAKAO_WEAK,송정공원 출입구1,135.8,MATCH_STRONG,송정공원,23.5
facility:2997,facility,2997,강서구,송정공원2(운동장),TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=희망공원 운동장2(2810.3m); POI=송정공원(25.4m),35.0991100,128.8235000,,,,,,,public_toilet:1646,2997,,public_toilet:1646,2026-04-27T08:19:05.747867+00:00,POI_ONLY_CATEGORY_RECHECK,POI,KAKAO_NEARBY_ONLY,희망공원 운동장2,2810.3,MATCH_STRONG,송정공원,25.4
facility:2975,facility,2975,강서구,수능엄사 옆,TOILET,KEEP,유지,[지도/POI 1차판정] 카카오 지도 근거 확인 / 카카오=수능엄사옆 공중화장실(3.3m); POI=공중화장실(5.4m),35.1198100,128.8970000,,,,,,,public_toilet:1611,2975,,public_toilet:1611,2026-04-27T08:19:05.747867+00:00,KEEP,KAKAO,KAKAO_STRONG,수능엄사옆 공중화장실,3.3,MATCH_STRONG,공중화장실,5.4
facility:2966,facility,2966,강서구,수산자원연구소 휴게동,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=부산광역시 수산자원연구소 휴게동(8.4m); POI=부산광역시수산자원연구소(11.4m),35.0880410,128.9089580,,,,,,,public_toilet:1598,2966,,public_toilet:1598,2026-04-27T08:19:05.747867+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_MEDIUM,부산광역시 수산자원연구소 휴게동,8.4,MATCH_MEDIUM,부산광역시수산자원연구소,11.4
facility:2889,facility,2889,강서구,숭림사 공중화장실,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / POI=공중화장실(3.3m),35.1161100,128.8880000,,,,,,,public_toilet:1481,2889,,public_toilet:1481,2026-04-27T08:19:05.747867+00:00,POI_ONLY_RECHECK,POI,KAKAO_NO_RESULT,,,MATCH_STRONG,공중화장실,3.3
